State,Year,Corrections -  General Fund,Corrections -  Federal Funds,Corrections -  Other State Funds,Corrections -  Bond Funds,Corrections -  Total Funds,Total All Spending - General Fund,Total All Spending - Federal Funds,Total All Spending - Other State Funds,Total All Spending - Bond Funds,Total All Spending - Total Funds,General Fund - % Corrections,Federal Funds - % Corrections,Other State Funds - % Corrections,Bond Funds - % Corrections,Total Funds - % Corrections
Puerto Rico,1993,$145.5M,$2.5M,$8.2M,$40.1M,$196.3M,"$4,179.7M","$2,657.7M","$6,466.9M",$310.0M,"$13,614.3M",3.5%,0.1%,0.1%,12.9%,1.4%
Puerto Rico,1994,$178.3M,$1.3M,$13.0M,$88.8M,$281.4M,"$4,609.0M","$2,875.9M","$5,634.2M",$305.0M,"$13,424.1M",3.9%,0.0%,0.2%,29.1%,2.1%
Puerto Rico,1995,$224.8M,$1.8M,$95.8M,$10.3M,$332.7M,"$5,340.1M","$3,121.4M","$6,375.3M",$325.0M,"$15,161.8M",4.2%,0.1%,1.5%,3.2%,2.2%
Puerto Rico,1996,$305.1M,$2.8M,$66.6M,$68.1M,$442.6M,"$5,495.1M","$3,121.5M","$7,263.7M",$505.0M,"$16,385.3M",5.6%,0.1%,0.9%,13.5%,2.7%
Puerto Rico,1997,$281.0M,$5.0M,$163.0M,$8.0M,$457.0M,"$5,631.0M","$3,234.0M","$8,442.0M",$369.0M,"$17,676.0M",5.0%,0.2%,1.9%,2.2%,2.6%
Puerto Rico,1998,$352.0M,$8.0M,$113.0M,$50.0M,$523.0M,"$5,980.0M","$3,307.0M","$8,535.0M",$500.0M,"$18,322.0M",5.9%,0.2%,1.3%,10.0%,2.9%
Puerto Rico,1999,$379.5M,$4.8M,$28.2M,,$412.5M,"$6,713.5M","$3,677.1M","$8,870.3M",$0.0M,"$19,260.9M",5.7%,0.1%,0.3%,,2.1%
Puerto Rico,2000,$382.0M,$9.0M,$27.0M,$0.0M,$418.0M,"$7,122.0M","$3,732.0M","$7,150.0M",$475.0M,"$18,479.0M",5.4%,0.2%,0.4%,0.0%,2.3%
Puerto Rico,2001,,,,,,,,,,,,,,,
Puerto Rico,2002,,,,,,,,,,,,,,,
Puerto Rico,2003,,,,,,,,,,,,,,,
Puerto Rico,2004,,,,,,,,,,,,,,,
Puerto Rico,2005,,,,,,,,,,,,,,,
Puerto Rico,2006,,,,,,,,,,,,,,,
Puerto Rico,2007,,,,,,,,,,,,,,,
Puerto Rico,2008,,,,,,,,,,,,,,,
Puerto Rico,2009,,,,,,,,,,,,,,,
Puerto Rico,2010,,,,,,,,,,,,,,,
Puerto Rico,2011,,,,,,,,,,,,,,,
Puerto Rico,2012,,,,,,,,,,,,,,,
Puerto Rico,2013,,,,,,,,,,,,,,,
Puerto Rico,2014,,,,,,,,,,,,,,,
Puerto Rico,2015,,,,,,,,,,,,,,,
Puerto Rico,2016,,,,,,,,,,,,,,,
Puerto Rico,2017,,,,,,,,,,,,,,,
Puerto Rico,2018,,,,,,,,,,,,,,,
Puerto Rico,2019,,,,,,,,,,,,,,,
Rhode Island,1991,$85.1M,$0.0M,$0.7M,$0.0M,$85.8M,"$1,446.4M",$658.5M,$75.9M,$100.6M,"$2,281.4M",5.9%,0.0%,0.9%,0.0%,3.8%
Rhode Island,1992,$91.6M,$0.0M,$1.5M,$2.3M,$95.4M,"$1,562.7M",$704.0M,"$1,066.6M",$97.2M,"$3,430.5M",5.9%,0.0%,0.1%,2.4%,2.8%
Rhode Island,1993,$99.7M,$0.0M,$3.5M,$0.2M,$103.4M,"$1,508.0M",$770.5M,"$1,032.3M",$72.4M,"$3,383.2M",6.6%,0.0%,0.3%,0.3%,3.1%
Rhode Island,1994,$100.8M,$0.0M,$5.4M,$0.0M,$106.2M,"$1,471.9M",$859.3M,$928.3M,$68.4M,"$3,327.9M",6.8%,0.0%,0.6%,0.0%,3.2%
Rhode Island,1995,$109.2M,$0.0M,$6.2M,$0.3M,$115.7M,"$1,585.0M",$979.6M,$910.0M,$50.9M,"$3,525.5M",6.9%,0.0%,0.7%,0.6%,3.3%
Rhode Island,1996,$114.4M,$1.1M,$13.5M,$0.0M,$129.0M,"$1,680.0M",$996.5M,$830.0M,$77.6M,"$3,584.1M",6.8%,0.1%,1.6%,0.0%,3.6%
Rhode Island,1997,$114.6M,$2.4M,$0.7M,$0.1M,$117.8M,"$1,668.0M","$1,047.4M",$857.2M,$54.0M,"$3,626.6M",6.9%,0.2%,0.1%,0.2%,3.2%
Rhode Island,1998,$125.3M,$1.6M,$1.9M,$0.0M,$128.8M,"$1,773.6M","$1,028.3M",$880.7M,$34.7M,"$3,717.3M",7.1%,0.2%,0.2%,0.0%,3.5%
Rhode Island,1999,$148.3M,$4.9M,$2.4M,$0.0M,$155.6M,"$1,862.5M","$1,231.2M",$805.9M,$72.7M,"$3,972.3M",8.0%,0.4%,0.3%,0.0%,3.9%
Rhode Island,2000,$138.0M,$7.0M,$2.0M,$0.0M,$147.0M,"$2,231.0M","$1,283.0M",$768.0M,$131.9M,"$4,413.9M",6.2%,0.5%,0.3%,0.0%,3.3%
Rhode Island,2001,$149.0M,$6.0M,$6.0M,$0.0M,$161.0M,"$2,483.0M","$1,428.6M",$833.0M,$128.0M,"$4,872.6M",6.0%,0.4%,0.7%,0.0%,3.3%
Rhode Island,2002,$128.0M,$5.0M,$4.0M,$0.0M,$137.0M,"$2,652.0M","$1,464.6M","$1,073.0M",$165.0M,"$5,354.6M",4.8%,0.3%,0.4%,0.0%,2.6%
Rhode Island,2003,$136.0M,$3.0M,$1.0M,$2.0M,$142.0M,"$2,690.0M","$1,601.0M","$1,141.0M",$111.0M,"$5,543.0M",5.1%,0.2%,0.1%,1.8%,2.6%
Rhode Island,2004,$281.4M,$34.9M,$13.9M,$9.6M,$339.8M,"$2,726.4M","$1,834.9M","$1,215.1M",$73.0M,"$5,849.4M",10.3%,1.9%,1.1%,13.1%,5.8%
Rhode Island,2005,$147.0M,$3.0M,$2.0M,$28.0M,$180.0M,"$2,927.0M","$1,891.0M","$1,182.0M",$102.6M,"$6,102.6M",5.0%,0.2%,0.2%,27.3%,2.9%
Rhode Island,2006,$151.0M,$9.0M,$1.7M,$0.0M,$161.7M,"$3,073.4M","$1,981.3M","$1,452.8M",$133.0M,"$6,640.5M",4.9%,0.5%,0.1%,0.0%,2.4%
Rhode Island,2007,$155.8M,$9.3M,$5.1M,$0.0M,$170.2M,"$3,217.8M","$1,846.7M","$1,480.5M",$182.0M,"$6,727.0M",4.8%,0.5%,0.3%,0.0%,2.5%
Rhode Island,2008,$193.0M,$3.0M,$3.0M,$0.0M,$199.0M,"$3,405.0M","$1,939.1M","$1,589.0M",$185.0M,"$7,118.1M",5.7%,0.2%,0.2%,0.0%,2.8%
Rhode Island,2009,$154.0M,$22.0M,$3.0M,$0.0M,$179.0M,"$3,001.0M","$2,271.0M","$1,933.0M",$149.0M,"$7,354.0M",5.1%,1.0%,0.2%,0.0%,2.4%
Rhode Island,2010,$170.0M,$2.0M,$2.0M,$2.0M,$176.0M,"$2,864.0M","$2,813.0M","$2,032.0M",$104.0M,"$7,813.0M",5.9%,0.1%,0.1%,1.9%,2.3%
Rhode Island,2011,$177.7M,$2.8M,$3.0M,$0.0M,$183.5M,"$2,956.2M","$2,748.8M","$2,014.6M",$244.0M,"$7,963.6M",6.0%,0.1%,0.1%,0.0%,2.3%
Rhode Island,2012,$185.0M,$2.0M,$3.0M,$0.0M,$190.0M,"$3,110.0M","$2,599.0M","$2,000.0M",$197.7M,"$7,906.7M",5.9%,0.1%,0.2%,0.0%,2.4%
Rhode Island,2013,$184.0M,$2.0M,$14.0M,$0.0M,$200.0M,"$3,223.0M","$2,522.0M","$2,468.0M",$158.0M,"$8,371.0M",5.7%,0.1%,0.6%,0.0%,2.4%
Rhode Island,2014,$188.0M,$2.0M,$16.0M,$0.0M,$206.0M,"$3,336.0M","$2,676.0M","$2,790.0M",$142.0M,"$8,944.0M",5.6%,0.1%,0.6%,0.0%,2.3%
Rhode Island,2015,$196.0M,$2.0M,$13.0M,$0.0M,$211.0M,"$3,454.0M","$2,895.0M","$2,044.0M",$90.0M,"$8,483.0M",5.7%,0.1%,0.6%,0.0%,2.5%
Rhode Island,2016,$208.0M,$1.0M,$3.0M,$0.0M,$212.0M,"$3,548.0M","$2,877.0M","$2,080.0M",$122.0M,"$8,627.0M",5.9%,0.0%,0.1%,0.0%,2.5%
Rhode Island,2017,$212.0M,$1.0M,$4.0M,$0.0M,$217.0M,"$3,672.0M","$2,977.0M","$2,109.0M",$128.0M,"$8,886.0M",5.8%,0.0%,0.2%,0.0%,2.4%
Rhode Island,2018,$232.0M,$1.0M,$4.0M,$0.0M,$237.0M,"$3,799.0M","$2,996.0M","$2,237.0M",$230.0M,"$9,262.0M",6.1%,0.0%,0.2%,0.0%,2.6%
Rhode Island,2019,$236.0M,$2.0M,$10.0M,$0.0M,$248.0M,"$3,934.0M","$3,334.0M","$2,478.0M",$357.0M,"$10,103.0M",6.0%,0.1%,0.4%,0.0%,2.5%
South Carolina,1991,$244.7M,$3.9M,$36.6M,$34.7M,$319.9M,"$3,452.9M","$2,250.3M","$2,160.1M",$125.4M,"$7,988.7M",7.1%,0.2%,1.7%,27.7%,4.0%
South Carolina,1992,$248.1M,$4.4M,$37.7M,$35.5M,$325.7M,"$3,395.9M","$2,635.7M","$2,369.7M",$112.9M,"$8,514.2M",7.3%,0.2%,1.6%,31.4%,3.8%
South Carolina,1993,$250.2M,$5.4M,$46.6M,$63.8M,$366.0M,"$3,521.2M","$2,752.0M","$2,523.2M",$161.1M,"$8,957.5M",7.1%,0.2%,1.8%,39.6%,4.1%
South Carolina,1994,$264.1M,$4.5M,$46.1M,$23.2M,$337.9M,"$3,843.1M","$3,001.1M","$2,607.7M",$111.1M,"$9,563.0M",6.9%,0.1%,1.8%,20.9%,3.5%
South Carolina,1995,$294.1M,$5.9M,$50.4M,$17.6M,$368.0M,"$4,051.9M","$3,160.0M","$2,784.8M",$135.9M,"$10,132.6M",7.3%,0.2%,1.8%,13.0%,3.6%
South Carolina,1996,$310.8M,$5.4M,$59.1M,$34.3M,$409.6M,"$4,349.8M","$3,275.7M","$3,082.0M",$210.0M,"$10,917.5M",7.1%,0.2%,1.9%,16.3%,3.8%
South Carolina,1997,$370.6M,$5.3M,$63.1M,$13.0M,$452.0M,"$4,616.1M","$3,307.8M","$3,209.1M",$138.8M,"$11,271.8M",8.0%,0.2%,2.0%,9.4%,4.0%
South Carolina,1998,$381.9M,$5.3M,$80.3M,$2.8M,$470.3M,"$4,968.7M","$3,756.5M","$4,076.9M",$130.6M,"$12,932.7M",7.7%,0.1%,2.0%,2.1%,3.6%
South Carolina,1999,$399.1M,$17.9M,$74.5M,$2.3M,$493.8M,"$5,128.0M","$5,183.8M","$3,090.3M",$85.4M,"$13,487.5M",7.8%,0.3%,2.4%,2.7%,3.7%
South Carolina,2000,$430.6M,$12.9M,$79.9M,$3.7M,$527.1M,"$5,167.7M","$4,120.8M","$3,671.1M",$447.7M,"$13,407.3M",8.3%,0.3%,2.2%,0.8%,3.9%
South Carolina,2001,$445.0M,$18.0M,$78.0M,$22.0M,$563.0M,"$5,422.0M","$4,455.0M","$4,031.0M",$549.0M,"$14,457.0M",8.2%,0.4%,1.9%,4.0%,3.9%
South Carolina,2002,$379.0M,$14.0M,$93.0M,$15.0M,$501.0M,"$5,192.0M","$5,093.0M","$4,745.0M",$449.0M,"$15,479.0M",7.3%,0.3%,2.0%,3.3%,3.2%
South Carolina,2003,$369.0M,$15.0M,$89.0M,$6.0M,$479.0M,"$4,995.0M","$5,570.0M","$4,882.0M",$477.0M,"$15,924.0M",7.4%,0.3%,1.8%,1.3%,3.0%
South Carolina,2004,$368.0M,$15.0M,$89.0M,$7.0M,$479.0M,"$4,864.0M","$6,180.0M","$5,223.0M",$171.0M,"$16,438.0M",7.6%,0.2%,1.7%,4.1%,2.9%
South Carolina,2005,$364.0M,$14.0M,$103.0M,$6.0M,$487.0M,"$5,223.0M","$6,809.0M","$5,830.0M",$129.0M,"$17,991.0M",7.0%,0.2%,1.8%,4.7%,2.7%
South Carolina,2006,$403.0M,$18.0M,$111.0M,$1.0M,$533.0M,"$5,640.0M","$6,521.0M","$5,680.0M",$119.0M,"$17,960.0M",7.1%,0.3%,2.0%,0.8%,3.0%
South Carolina,2007,$438.0M,$21.0M,$125.0M,$1.0M,$585.0M,"$6,565.0M","$6,680.0M","$6,633.0M",$111.0M,"$19,989.0M",6.7%,0.3%,1.9%,0.9%,2.9%
South Carolina,2008,$487.0M,$11.0M,$129.0M,$2.0M,$629.0M,"$7,149.0M","$6,654.0M","$6,866.0M",$118.0M,"$20,787.0M",6.8%,0.2%,1.9%,1.7%,3.0%
South Carolina,2009,$471.0M,$7.0M,$130.0M,$0.0M,$608.0M,"$5,812.0M","$7,068.0M","$7,704.0M",$182.0M,"$20,766.0M",8.1%,0.1%,1.7%,0.0%,2.9%
South Carolina,2010,$434.0M,$37.0M,$106.0M,$0.0M,$577.0M,"$5,146.0M","$7,691.0M","$6,779.0M",$86.0M,"$19,702.0M",8.4%,0.5%,1.6%,0.0%,2.9%
South Carolina,2011,$402.0M,$57.0M,$99.0M,$0.0M,$558.0M,"$5,275.0M","$9,821.0M","$6,988.0M",$104.0M,"$22,188.0M",7.6%,0.6%,1.4%,0.0%,2.5%
South Carolina,2012,$465.0M,$9.0M,$120.0M,$0.0M,$594.0M,"$5,517.0M","$9,284.0M","$7,164.0M",$123.0M,"$22,088.0M",8.4%,0.1%,1.7%,0.0%,2.7%
South Carolina,2013,$492.0M,$6.0M,$104.0M,$0.0M,$602.0M,"$6,200.0M","$7,800.0M","$8,208.0M",$0.0M,"$22,208.0M",7.9%,0.1%,1.3%,,2.7%
South Carolina,2014,$512.0M,$6.0M,$101.0M,$0.0M,$619.0M,"$6,329.0M","$7,542.0M","$8,116.0M",$53.0M,"$22,040.0M",8.1%,0.1%,1.2%,0.0%,2.8%
South Carolina,2015,$507.0M,$6.0M,$90.0M,$0.0M,$603.0M,"$6,969.0M","$7,715.0M","$7,931.0M",$0.0M,"$22,615.0M",7.3%,0.1%,1.1%,,2.7%
South Carolina,2016,$497.0M,$6.0M,$88.0M,$0.0M,$591.0M,"$7,320.0M","$7,614.0M","$8,014.0M",$0.0M,"$22,948.0M",6.8%,0.1%,1.1%,,2.6%
South Carolina,2017,$544.0M,$6.0M,$82.0M,$0.0M,$632.0M,"$7,804.0M","$8,184.0M","$8,565.0M",$617.0M,"$25,170.0M",7.0%,0.1%,1.0%,0.0%,2.5%
South Carolina,2018,$580.0M,$6.0M,$85.0M,$0.0M,$671.0M,"$8,056.0M","$8,593.0M","$8,433.0M",$175.0M,"$25,257.0M",7.2%,0.1%,1.0%,0.0%,2.7%
South Carolina,2019,$605.0M,$5.0M,$83.0M,$0.0M,$693.0M,"$8,294.0M","$8,058.0M","$9,159.0M",$147.0M,"$25,658.0M",7.3%,0.1%,0.9%,0.0%,2.7%
South Dakota,1991,$20.4M,$1.2M,$3.0M,$0.0M,$24.6M,$478.2M,$471.0M,$294.5M,$0.0M,"$1,243.7M",4.3%,0.3%,1.0%,,2.0%
South Dakota,1992,$22.4M,$1.2M,$13.8M,$0.0M,$37.4M,$519.2M,$533.4M,$356.6M,$0.0M,"$1,409.2M",4.3%,0.2%,3.9%,,2.7%
South Dakota,1993,$24.6M,$1.4M,$2.2M,$0.0M,$28.2M,$561.8M,$566.1M,$342.3M,$0.0M,"$1,470.2M",4.4%,0.2%,0.6%,,1.9%
South Dakota,1994,$27.7M,$1.8M,$3.2M,$0.0M,$32.7M,$598.6M,$636.6M,$368.6M,$7.0M,"$1,610.8M",4.6%,0.3%,0.9%,0.0%,2.0%
South Dakota,1995,$29.9M,$1.6M,$3.2M,$0.0M,$34.7M,$565.9M,$655.4M,$424.3M,$4.5M,"$1,650.1M",5.3%,0.2%,0.8%,0.0%,2.1%
South Dakota,1996,$33.0M,$3.1M,$2.8M,$0.0M,$38.9M,$590.3M,$648.4M,$415.1M,$3.4M,"$1,657.2M",5.6%,0.5%,0.7%,0.0%,2.3%
South Dakota,1997,$41.9M,$4.0M,$3.7M,$0.0M,$49.6M,$635.0M,$603.4M,$476.5M,$5.4M,"$1,720.3M",6.6%,0.7%,0.8%,0.0%,2.9%
South Dakota,1998,$41.4M,$3.1M,$3.2M,$0.0M,$47.7M,$703.0M,$771.4M,$482.8M,$0.5M,"$1,957.7M",5.9%,0.4%,0.7%,0.0%,2.4%
South Dakota,1999,$40.7M,$3.6M,$5.1M,$0.0M,$49.4M,$730.2M,$705.7M,$499.4M,$1.5M,"$1,936.8M",5.6%,0.5%,1.0%,0.0%,2.6%
South Dakota,2000,$44.0M,$4.0M,$5.0M,$0.0M,$53.0M,$764.0M,$783.0M,$558.0M,$4.0M,"$2,109.0M",5.8%,0.5%,0.9%,0.0%,2.5%
South Dakota,2001,$48.7M,$5.8M,$6.3M,$0.0M,$60.8M,$793.2M,$922.7M,$619.9M,$0.0M,"$2,335.7M",6.1%,0.6%,1.0%,,2.6%
South Dakota,2002,$52.0M,$11.0M,$5.0M,$0.0M,$68.0M,$897.0M,"$1,016.0M","$1,329.0M",$0.0M,"$3,242.0M",5.8%,1.1%,0.4%,,2.1%
South Dakota,2003,$52.5M,$10.9M,$3.1M,$0.0M,$66.5M,$866.4M,"$1,014.0M",$637.0M,$8.0M,"$2,525.4M",6.1%,1.1%,0.5%,0.0%,2.6%
South Dakota,2004,$61.0M,$14.0M,$6.0M,$0.0M,$81.0M,$877.0M,"$1,191.0M","$1,068.6M",$2.0M,"$3,138.6M",7.0%,1.2%,0.6%,0.0%,2.6%
South Dakota,2005,$66.0M,$12.0M,$5.0M,$0.0M,$83.0M,$969.0M,"$1,157.0M",$705.0M,$10.0M,"$2,841.0M",6.8%,1.0%,0.7%,0.0%,2.9%
South Dakota,2006,$70.0M,$13.0M,$9.0M,$0.0M,$92.0M,"$1,006.0M","$1,177.0M",$776.0M,$20.0M,"$2,979.0M",7.0%,1.1%,1.2%,0.0%,3.1%
South Dakota,2007,$74.0M,$13.0M,$6.0M,$0.0M,$93.0M,"$1,058.0M","$1,200.0M",$791.0M,$10.0M,"$3,059.0M",7.0%,1.1%,0.8%,0.0%,3.0%
South Dakota,2008,$81.3M,$12.6M,$6.7M,$0.0M,$100.6M,"$1,176.1M","$1,182.1M",$842.1M,$17.0M,"$3,217.3M",6.9%,1.1%,0.8%,0.0%,3.1%
South Dakota,2009,$77.0M,$21.0M,$8.0M,$0.0M,$106.0M,"$1,154.0M","$1,397.0M",$921.0M,$77.0M,"$3,549.0M",6.7%,1.5%,0.9%,0.0%,3.0%
South Dakota,2010,$77.0M,$23.0M,$6.0M,$0.0M,$106.0M,"$1,149.0M","$1,726.0M",$892.0M,$67.0M,"$3,834.0M",6.7%,1.3%,0.7%,0.0%,2.8%
South Dakota,2011,$75.0M,$20.0M,$7.0M,$0.0M,$102.0M,"$1,167.0M","$1,679.0M",$957.0M,$67.0M,"$3,870.0M",6.4%,1.2%,0.7%,0.0%,2.6%
South Dakota,2012,$80.0M,$10.0M,$8.0M,$0.0M,$98.0M,"$1,207.0M","$1,507.0M",$939.0M,$35.0M,"$3,688.0M",6.6%,0.7%,0.9%,0.0%,2.7%
South Dakota,2013,$86.0M,$10.0M,$8.0M,$0.0M,$104.0M,"$1,291.0M","$1,494.0M","$1,312.0M",$35.0M,"$4,132.0M",6.7%,0.7%,0.6%,0.0%,2.5%
South Dakota,2014,$92.0M,$9.0M,$8.0M,$0.0M,$109.0M,"$1,443.0M","$1,418.0M","$1,226.0M",$21.0M,"$4,108.0M",6.4%,0.6%,0.7%,0.0%,2.7%
South Dakota,2015,$93.0M,$7.0M,$7.0M,$0.0M,$107.0M,"$1,387.0M","$1,356.0M","$1,188.0M",$60.0M,"$3,991.0M",6.7%,0.5%,0.6%,0.0%,2.7%
South Dakota,2016,$93.0M,$5.0M,$12.0M,$0.0M,$110.0M,"$1,462.0M","$1,371.0M","$1,248.0M",$91.0M,"$4,172.0M",6.4%,0.4%,1.0%,0.0%,2.6%
South Dakota,2017,$98.0M,$4.0M,$4.0M,$0.0M,$106.0M,"$1,548.0M","$1,420.0M","$1,239.0M",$20.0M,"$4,227.0M",6.3%,0.3%,0.3%,0.0%,2.5%
South Dakota,2018,$100.0M,$4.0M,$3.0M,$0.0M,$107.0M,"$1,591.0M","$1,407.0M","$1,439.0M",$20.0M,"$4,457.0M",6.3%,0.3%,0.2%,0.0%,2.4%
South Dakota,2019,$109.0M,$3.0M,$3.0M,$0.0M,$115.0M,"$1,638.0M","$1,449.0M","$1,372.0M",$32.0M,"$4,491.0M",6.7%,0.2%,0.2%,0.0%,2.6%
Tennessee,1991,$313.0M,$0.1M,$19.6M,$34.0M,$366.7M,"$3,742.9M","$2,451.6M","$1,472.3M",$206.8M,"$7,873.6M",8.4%,0.0%,1.3%,16.4%,4.7%
Tennessee,1992,$319.0M,$0.0M,$18.0M,$0.0M,$337.0M,"$3,540.0M","$3,128.0M","$2,193.0M",$12.0M,"$8,873.0M",9.0%,0.0%,0.8%,0.0%,3.8%
Tennessee,1993,$358.0M,$0.0M,$21.0M,$21.0M,$400.0M,"$4,035.0M","$3,437.0M","$2,493.0M",$79.0M,"$10,044.0M",8.9%,0.0%,0.8%,26.6%,4.0%
Tennessee,1994,$383.0M,$0.0M,$25.1M,$0.0M,$408.1M,"$4,750.2M","$3,418.9M","$2,261.9M",$84.1M,"$10,515.1M",8.1%,0.0%,1.1%,0.0%,3.9%
Tennessee,1995,$361.3M,$0.0M,$28.0M,$17.5M,$406.8M,"$5,004.0M","$3,719.9M","$2,644.9M",$164.5M,"$11,533.3M",7.2%,0.0%,1.1%,10.6%,3.5%
Tennessee,1996,$378.9M,$0.0M,$26.2M,$33.3M,$438.4M,"$5,561.5M","$4,875.0M","$3,067.0M",$98.7M,"$13,602.2M",6.8%,0.0%,0.9%,33.7%,3.2%
Tennessee,1997,$370.9M,$0.0M,$37.1M,$54.0M,$462.0M,"$4,440.8M","$3,390.2M","$1,456.6M",$203.8M,"$9,491.4M",8.4%,0.0%,2.5%,26.5%,4.9%
Tennessee,1998,$356.2M,$7.7M,$44.0M,$0.0M,$407.9M,"$6,012.5M","$5,373.8M","$3,096.5M",$60.8M,"$14,543.6M",5.9%,0.1%,1.4%,0.0%,2.8%
Tennessee,1999,$374.7M,$10.7M,$29.1M,$0.0M,$414.5M,"$6,506.0M","$5,228.8M","$2,812.4M",$244.6M,"$14,791.8M",5.8%,0.2%,1.0%,0.0%,2.8%
Tennessee,2000,$395.0M,$14.0M,$21.0M,$0.0M,$430.0M,"$6,807.0M","$5,664.0M","$3,482.0M",$40.0M,"$15,993.0M",5.8%,0.2%,0.6%,0.0%,2.7%
Tennessee,2001,$406.0M,$15.0M,$26.0M,$21.0M,$468.0M,"$7,293.0M","$6,338.0M","$3,553.0M",$98.0M,"$17,282.0M",5.6%,0.2%,0.7%,21.4%,2.7%
Tennessee,2002,$434.0M,$1.0M,$37.0M,$0.0M,$472.0M,"$7,779.0M","$6,941.0M","$3,808.0M",$21.0M,"$18,549.0M",5.6%,0.0%,1.0%,0.0%,2.5%
Tennessee,2003,$459.0M,$23.0M,$24.0M,$0.0M,$506.0M,"$8,150.0M","$7,933.0M","$3,941.0M",$47.0M,"$20,071.0M",5.6%,0.3%,0.6%,0.0%,2.5%
Tennessee,2004,$479.0M,$4.0M,$22.0M,$0.0M,$505.0M,"$8,432.0M","$8,796.0M","$4,257.0M",$210.0M,"$21,695.0M",5.7%,0.0%,0.5%,0.0%,2.3%
Tennessee,2005,$519.0M,$10.0M,$28.0M,$31.0M,$588.0M,"$9,424.0M","$9,394.0M","$4,732.0M",$310.0M,"$23,860.0M",5.5%,0.1%,0.6%,10.0%,2.5%
Tennessee,2006,$541.0M,$1.0M,$34.0M,$73.0M,$649.0M,"$9,421.0M","$9,137.0M","$4,563.0M",$257.0M,"$23,378.0M",5.7%,0.0%,0.7%,28.4%,2.8%
Tennessee,2007,$572.0M,$62.0M,$40.0M,$40.0M,$714.0M,"$10,182.0M","$8,965.0M","$5,014.0M",$378.0M,"$24,539.0M",5.6%,0.7%,0.8%,10.6%,2.9%
Tennessee,2008,$607.0M,$1.0M,$47.0M,$35.0M,$690.0M,"$11,570.0M","$9,343.0M","$4,969.0M",$151.0M,"$26,033.0M",5.2%,0.0%,0.9%,23.2%,2.7%
Tennessee,2009,$682.0M,$1.0M,$102.0M,$4.0M,$789.0M,"$11,921.0M","$11,032.0M","$5,629.0M",$490.0M,"$29,072.0M",5.7%,0.0%,1.8%,0.8%,2.7%
Tennessee,2010,$558.0M,$48.0M,$46.0M,$0.0M,$652.0M,"$9,914.0M","$12,951.0M","$5,484.0M",$100.0M,"$28,449.0M",5.6%,0.4%,0.8%,0.0%,2.3%
Tennessee,2011,$720.0M,$1.0M,$49.0M,$0.0M,$770.0M,"$10,561.0M","$13,578.0M","$5,970.0M",$119.0M,"$30,228.0M",6.8%,0.0%,0.8%,0.0%,2.5%
Tennessee,2012,$769.0M,$1.0M,$52.0M,$0.0M,$822.0M,"$11,685.0M","$12,806.0M","$5,674.0M",$254.0M,"$30,419.0M",6.6%,0.0%,0.9%,0.0%,2.7%
Tennessee,2013,$819.0M,$0.0M,$49.0M,$0.0M,$868.0M,"$12,093.0M","$12,532.0M","$5,565.0M",$301.0M,"$30,491.0M",6.8%,0.0%,0.9%,0.0%,2.8%
Tennessee,2014,$861.0M,$0.0M,$78.0M,$0.0M,$939.0M,"$12,837.0M","$12,200.0M","$5,480.0M",$185.0M,"$30,702.0M",6.7%,0.0%,1.4%,0.0%,3.1%
Tennessee,2015,$852.0M,$0.0M,$41.0M,$0.0M,$893.0M,"$12,837.0M","$12,052.0M","$5,867.0M",$84.0M,"$30,840.0M",6.6%,0.0%,0.7%,0.0%,2.9%
Tennessee,2016,$874.0M,$0.0M,$38.0M,$0.0M,$912.0M,"$13,256.0M","$12,567.0M","$6,080.0M",$438.0M,"$32,341.0M",6.6%,0.0%,0.6%,0.0%,2.8%
Tennessee,2017,$904.0M,$1.0M,$36.0M,$0.0M,$941.0M,"$14,162.0M","$12,261.0M","$6,417.0M",$0.0M,"$32,840.0M",6.4%,0.0%,0.6%,,2.9%
Tennessee,2018,$953.0M,$0.0M,$58.0M,$0.0M,"$1,011.0M","$14,907.0M","$12,618.0M","$6,662.0M",$3.0M,"$34,190.0M",6.4%,0.0%,0.9%,0.0%,3.0%
Tennessee,2019,"$1,015.0M",$1.0M,$20.0M,$0.0M,"$1,036.0M","$15,693.0M","$14,164.0M","$6,963.0M",$89.0M,"$36,909.0M",6.5%,0.0%,0.3%,0.0%,2.8%
Texas,1991,$851.9M,$0.3M,$45.7M,$0.0M,$897.9M,"$14,246.6M","$7,066.6M","$3,562.2M",$0.0M,"$24,875.4M",6.0%,0.0%,1.3%,,3.6%
Texas,1992,"$1,020.6M",$0.3M,$42.0M,$4.6M,"$1,067.5M","$16,630.8M","$7,654.4M","$4,661.1M",$27.8M,"$28,974.1M",6.1%,0.0%,0.9%,16.5%,3.7%
Texas,1993,"$1,453.2M",$0.6M,$37.8M,$582.3M,"$2,073.9M","$18,683.9M","$9,451.3M","$4,646.3M",$635.2M,"$33,416.7M",7.8%,0.0%,0.8%,91.7%,6.2%
Texas,1994,"$1,856.3M",$0.5M,$39.4M,$606.6M,"$2,502.8M","$19,199.5M","$10,324.0M","$5,597.9M",$643.8M,"$35,765.2M",9.7%,0.0%,0.7%,94.2%,7.0%
Texas,1995,"$2,399.0M",$0.2M,$55.2M,$295.2M,"$2,749.6M","$22,916.9M","$10,405.5M","$3,386.6M",$295.2M,"$37,004.2M",10.5%,0.0%,1.6%,100.0%,7.4%
